"fix_time","fix_item","trial","subject","rt","value_down_boundary","value_up_boundary","choice"
208,3,2,3,1587,16,16,"-1"
238,1,2,3,1587,16,16,"-1"
12,3,2,3,1587,16,16,"-1"
224,-1,2,3,1587,16,16,"-1"
124,3,2,3,1587,16,16,"-1"
222,1,2,3,1587,16,16,"-1"
559,3,2,3,1587,16,16,"-1"
694,3,11,3,1151,18,10,"-1"
260,-1,11,3,1151,18,10,"-1"
197,3,11,3,1151,18,10,"-1"
475,3,12,3,1166,2,16,"1"
553,-1,12,3,1166,2,16,"1"
138,3,12,3,1166,2,16,"1"
471,3,13,3,982,8,2,"-1"
221,-1,13,3,982,8,2,"-1"
290,3,13,3,982,8,2,"-1"
203,3,16,3,3747,12,16,"1"
363,-1,16,3,3747,12,16,"1"
254,3,16,3,3747,12,16,"1"
1791,-1,16,3,3747,12,16,"1"
1136,3,16,3,3747,12,16,"1"
221,3,18,3,1563,8,16,"1"
213,-1,18,3,1563,8,16,"1"
282,3,18,3,1563,8,16,"1"
259,-1,18,3,1563,8,16,"1"
588,3,18,3,1563,8,16,"1"
519,3,20,3,1161,20,16,"-1"
321,-1,20,3,1161,20,16,"-1"
321,3,20,3,1161,20,16,"-1"
556,3,21,3,1068,2,18,"1"
512,-1,21,3,1068,2,18,"1"
480,3,23,3,2367,8,14,"1"
345,-1,23,3,2367,8,14,"1"
886,3,23,3,2367,8,14,"1"
450,-1,23,3,2367,8,14,"1"
206,3,23,3,2367,8,14,"1"
212,3,26,3,1149,20,20,"-1"
201,-1,26,3,1149,20,20,"-1"
15,3,26,3,1149,20,20,"-1"
358,1,26,3,1149,20,20,"-1"
16,3,26,3,1149,20,20,"-1"
347,-1,26,3,1149,20,20,"-1"
210,3,28,3,2035,6,4,"-1"
190,-1,28,3,2035,6,4,"-1"
13,3,28,3,2035,6,4,"-1"
270,1,28,3,2035,6,4,"-1"
16,3,28,3,2035,6,4,"-1"
472,-1,28,3,2035,6,4,"-1"
17,3,28,3,2035,6,4,"-1"
383,1,28,3,2035,6,4,"-1"
8,3,28,3,2035,6,4,"-1"
456,-1,28,3,2035,6,4,"-1"
233,3,29,3,2165,6,18,"1"
420,-1,29,3,2165,6,18,"1"
6,3,29,3,2165,6,18,"1"
1506,1,29,3,2165,6,18,"1"
243,3,30,3,3914,12,18,"1"
197,1,30,3,3914,12,18,"1"
20,3,30,3,3914,12,18,"1"
462,-1,30,3,3914,12,18,"1"
8,3,30,3,3914,12,18,"1"
284,-1,30,3,3914,12,18,"1"
515,1,30,3,3914,12,18,"1"
134,3,30,3,3914,12,18,"1"
297,1,30,3,3914,12,18,"1"
16,3,30,3,3914,12,18,"1"
870,-1,30,3,3914,12,18,"1"
10,3,30,3,3914,12,18,"1"
858,1,30,3,3914,12,18,"1"
227,3,31,3,1185,4,20,"1"
182,1,31,3,1185,4,20,"1"
35,3,31,3,1185,4,20,"1"
285,-1,31,3,1185,4,20,"1"
278,1,31,3,1185,4,20,"1"
12,3,31,3,1185,4,20,"1"
166,-1,31,3,1185,4,20,"1"
245,3,32,3,2298,6,14,"1"
413,1,32,3,2298,6,14,"1"
4,3,32,3,2298,6,14,"1"
468,-1,32,3,2298,6,14,"1"
144,3,32,3,2298,6,14,"1"
646,1,32,3,2298,6,14,"1"
20,3,32,3,2298,6,14,"1"
358,-1,32,3,2298,6,14,"1"
235,3,35,3,1029,18,8,"-1"
330,1,35,3,1029,18,8,"-1"
23,3,35,3,1029,18,8,"-1"
441,-1,35,3,1029,18,8,"-1"
245,3,36,3,3432,4,12,"1"
209,1,36,3,3432,4,12,"1"
270,3,36,3,3432,4,12,"1"
1272,-1,36,3,3432,4,12,"1"
22,3,36,3,3432,4,12,"1"
361,1,36,3,3432,4,12,"1"
31,3,36,3,3432,4,12,"1"
809,-1,36,3,3432,4,12,"1"
16,3,36,3,3432,4,12,"1"
197,1,36,3,3432,4,12,"1"
196,3,38,3,868,12,4,"-1"
232,-1,38,3,868,12,4,"-1"
15,3,38,3,868,12,4,"-1"
425,1,38,3,868,12,4,"-1"
237,3,39,3,1251,6,16,"1"
198,1,39,3,1251,6,16,"1"
22,3,39,3,1251,6,16,"1"
417,-1,39,3,1251,6,16,"1"
18,3,39,3,1251,6,16,"1"
359,1,39,3,1251,6,16,"1"
213,3,40,3,936,18,6,"-1"
250,-1,40,3,936,18,6,"-1"
34,3,40,3,936,18,6,"-1"
262,1,40,3,936,18,6,"-1"
16,3,40,3,936,18,6,"-1"
161,-1,40,3,936,18,6,"-1"
196,3,41,3,1068,10,8,"-1"
199,-1,41,3,1068,10,8,"-1"
17,3,41,3,1068,10,8,"-1"
364,1,41,3,1068,10,8,"-1"
28,3,41,3,1068,10,8,"-1"
264,-1,41,3,1068,10,8,"-1"
295,3,42,3,1043,16,20,"-1"
415,-1,42,3,1043,16,20,"-1"
14,3,42,3,1043,16,20,"-1"
319,1,42,3,1043,16,20,"-1"
251,3,44,3,885,4,4,"-1"
235,1,44,3,885,4,4,"-1"
8,3,44,3,885,4,4,"-1"
335,-1,44,3,885,4,4,"-1"
7,3,44,3,885,4,4,"-1"
49,1,44,3,885,4,4,"-1"
4,3,52,3,1431,16,2,"-1"
375,-1,52,3,1431,16,2,"-1"
8,3,52,3,1431,16,2,"-1"
546,1,52,3,1431,16,2,"-1"
15,3,52,3,1431,16,2,"-1"
437,-1,52,3,1431,16,2,"-1"
46,3,52,3,1431,16,2,"-1"
249,3,55,3,883,6,6,"-1"
211,1,55,3,883,6,6,"-1"
36,3,55,3,883,6,6,"-1"
283,-1,55,3,883,6,6,"-1"
