"first_fixation_time","fixation_time"
299,426
540,319
341,259
316,1472
197,382
339,217
1057,397
340,499
356,301
1356,262
458,618
1237,402
598,239
281,700
319,203
318,180
441,416
320,697
346,419
518,260
438,940
219,399
339,420
196,499
299,516
299,200
217,538
216,281
339,219
399,738
539,498
299,200
579,319
399,299
298,419
216,578
387,298
259,896
140,862
225,739
339,563
339,873
199,658
359,518
380,518
279,280
240,582
219,399
179,717
379,360
219,498
220,458
498,358
461,421
220,479
520,140
219,362
578,618
359,421
339,720
511,418
179,339
220,481
498,320
179,840
239,599
358,737
299,640
373,179
402,818
380,420
299,740
339,1057
398,458
340,737
378,798
319,735
299,259
379,201
237,420
359,359
339,398
219,642
240,541
179,120
239,239
156,518
160,618
179,219
258,539
338,517
242,517
476,478
225,179
696,419
460,278
511,1236
535,398
515,161
159,460
282,440
219,380
579,281
358,316
218,200
321,378
499,338
714,239
943,781
366,259
420,279
396,818
285,319
302,419
260,179
474,1155
302,937
559,616
304,758
397,798
235,339
239,480
259,715
998,222
241,458
600,398
496,537
286,121
359,110
338,240
221,458
301,637
719,418
717,478
700,239
757,319
237,179
400,597
237,299
458,299
298,761
360,522
475,298
395,199
295,419
335,458
348,577
320,300
241,597
321,319
196,220
200,278
339,260
374,300
244,538
538,418
219,817
459,380
279,756
182,478
220,279
222,400
482,459
245,418
201,1176
241,120
279,240
283,358
583,418
199,120
229,418
338,737
279,837
278,319
303,343
205,521
261,439
200,239
638,161
219,219
480,160
259,458
500,359
296,378
197,438
516,440
1036,319
1176,380
1612,339
857,522
597,159
597,1373
664,881
3368,135
716,239
338,962
717,1462
995,230
1253,998
3264,137
996,625
2651,212
658,618
1355,1057
997,1307
712,444
4065,700
756,455
597,442
1555,940
557,553
1276,163
199,878
2869,649
736,660
1793,283
566,1035
956,875
679,837
735,840
1235,476
2888,521
1455,401
2551,353
977,615
657,699
796,398
1156,202
809,856
1734,479
1036,377
520,746
498,752
598,239
597,654
2372,398
398,139
440,702
578,514
600,877
458,778
858,608
539,1016
634,263
657,196
518,1100
2372,438
537,760
518,259
555,699
500,617
857,697
6717,122
677,459
400,462
520,893
1140,795
518,640
619,658
1135,558
518,718
936,598
698,606
560,359
637,362
423,379
997,717
2807,421
521,751
1835,1036
737,120
817,283
836,538
519,359
558,1076
1753,321
459,399
398,838
618,402
517,443
537,996
438,815
478,817
399,541
836,601
837,578
399,463
1634,301
1042,422
557,517
580,399
339,695
180,140
2474,738
1513,559
639,176
459,280
219,761
877,462
119,497
519,184
977,122
714,662
336,214
239,549
1015,308
638,400
359,238
398,374
1696,641
498,977
719,438
1555,576
598,558
219,615
1574,660
558,217
518,295
1575,398
737,851
518,1192
657,473
199,339
1774,758
617,278
459,540
199,481
102,319
778,200
636,236
1853,475
698,520
738,513
318,697
219,597
1854,250
354,483
835,239
579,836
636,518
1198,420
1295,201
659,320
1176,259
516,360
1432,220
1177,197
1294,622
1235,279
419,320
119,776
280,757
936,997
995,757
899,697
477,738
896,1396
207,518
418,998
518,677
1233,379
1735,876
638,1056
1177,1116
198,160
1754,1016
1796,1077
557,458
236,699
1455,857
275,518
219,1095
239,1475
152,1395
232,1076
199,140
133,659
151,901
279,793
419,279
119,837
160,1320
246,1215
239,159
259,1216
179,1476
175,817
154,1076
239,459
199,1236
258,1295
199,1216
242,782
171,1311
198,737
419,299
173,898
180,617
219,1495
180,1237
160,578
120,1287
158,1436
180,957
559,300
239,1036
160,1475
151,1496
200,877
272,977
572,1335
139,754
638,119
297,321
219,667
398,967
192,1101
156,175
277,615
179,756
159,339
219,1076
159,553
857,1375
159,1415
159,738
173,1057
193,597
219,637
118,937
160,899
378,1216
300,938
199,439
139,1456
178,379
199,957
159,577
259,519
378,637
160,698
314,957
173,697
179,698
138,738
219,677
172,808
140,737
199,558
159,1055
219,958
259,539
478,957
140,794
340,1136
258,836
478,559
179,698
657,199
338,657
259,996
239,1255
260,598
218,876
339,1197
219,836
438,338
398,1196
299,720
299,874
219,558
458,499
698,1038
299,220
677,1155
378,1137
371,140
339,877
537,877
378,788
458,1335
260,1076
458,917
279,1290
259,1139
398,318
279,1495
517,299
239,839
379,1038
437,1196
399,478
458,1495
359,678
458,837
458,518
319,1275
419,682
319,758
419,658
499,1039
